emp_no,first_name,last_name,to_date,title,birth_date,hire_date
10095,Hilari,Morton,1/1/9999,Senior Staff,1/3/1965,7/15/1986
10122,Ohad,Esposito,1/1/9999,Technique Leader,1/19/1965,12/23/1992
10291,Dipayan,Seghrouchni,1/1/9999,Senior Staff,1/23/1965,9/29/1986
10476,Kokou,Iisaka,1/1/9999,Senior Staff,1/1/1965,9/20/1987
10663,Teunis,Noriega,1/1/9999,Technique Leader,1/9/1965,1/23/1993
10762,Lech,Himler,1/1/9999,Senior Staff,1/19/1965,1/21/1992
10933,Juyoung,Seghrouchni,1/1/9999,Senior Engineer,1/24/1965,8/2/1993
12155,Keiichiro,Glinert,1/1/9999,Senior Engineer,1/21/1965,9/16/1993
12408,Rasiah,Sudkamp,1/1/9999,Senior Engineer,1/10/1965,4/18/1995
12643,Morrie,Schurmann,1/1/9999,Staff,1/30/1965,7/23/1998
13499,Kazuhiko,Sidou,1/1/9999,Technique Leader,1/16/1965,11/25/1985
14075,Denny,Tchuente,1/1/9999,Engineer,1/3/1965,9/1/1989
14104,Sudhanshu,Demian,1/1/9999,Senior Staff,1/3/1965,1/2/1986
14127,Magdalena,Cannard,1/1/9999,Senior Engineer,1/10/1965,4/22/1994
14158,Caolyn,Setiz,1/1/9999,Senior Staff,1/22/1965,2/6/1990
14476,Sastry,Marrevee,1/1/9999,Engineer,1/19/1965,10/19/1989
14907,Nakhoon,Luga,1/1/9999,Senior Staff,1/14/1965,12/18/1986
15050,Nikolaos,Kruskal,1/1/9999,Senior Engineer,1/18/1965,12/17/1990
15058,Bouchung,Bugrara,1/1/9999,Senior Staff,1/30/1965,5/31/1986
15413,Arvin,Rabejac,1/1/9999,Senior Engineer,1/17/1965,9/22/1993
16461,Remmert,Schahn,1/1/9999,Senior Staff,1/14/1965,9/6/1986
16528,Gaurav,Swick,1/1/9999,Engineer,1/21/1965,4/7/1992
17013,Morris,Garigliano,1/1/9999,Senior Staff,1/15/1965,5/28/1994
17206,Berry,DeMori,1/1/9999,Senior Engineer,1/2/1965,2/25/1986
17369,Yaghout,Kenevan,1/1/9999,Senior Engineer,1/31/1965,2/9/1991
17447,Zengping,Boreale,1/1/9999,Staff,1/11/1965,11/10/1990
17731,Gennady,Roison,1/1/9999,Engineer,1/16/1965,12/6/1989
17970,Filipp,Carrere,1/1/9999,Technique Leader,1/6/1965,1/9/1989
17988,Mabhin,Calkin,1/1/9999,Senior Engineer,1/31/1965,11/30/1989
18021,Adil,Matzke,1/1/9999,Senior Engineer,1/7/1965,5/8/1987
18424,Filipp,Rousseau,1/1/9999,Senior Engineer,1/19/1965,9/21/1987
18583,Stafford,Honglei,1/1/9999,Staff,1/3/1965,12/18/1990
18617,Surveyors,Crouzet,1/1/9999,Senior Staff,1/21/1965,6/28/1986
18810,Taiji,Jarecki,1/1/9999,Senior Engineer,1/9/1965,4/13/1987
19236,Elzbieta,Morris,1/1/9999,Senior Engineer,1/24/1965,1/7/1988
19350,Satoru,Yoshizawa,1/1/9999,Senior Staff,1/19/1965,1/18/1991
19803,Ziva,Kowalchuk,1/1/9999,Senior Engineer,1/30/1965,6/13/1987
20100,Utz,Heuter,1/1/9999,Senior Staff,1/18/1965,6/15/1986
20128,Kazunori,Peak,1/1/9999,Senior Staff,1/23/1965,9/2/1989
20129,Rafael,Skafidas,1/1/9999,Senior Engineer,1/10/1965,1/25/1989
20248,Vidar,Demri,1/1/9999,Staff,1/12/1965,7/14/1992
20313,Candida,Benveniste,1/1/9999,Engineer,1/24/1965,7/2/1992
20500,Christoph,Trystram,1/1/9999,Senior Staff,1/30/1965,7/30/1992
20885,Otmar,Rothenberg,1/1/9999,Senior Engineer,1/21/1965,3/14/1989
21181,Jianhui,Cangellaris,1/1/9999,Engineer,1/21/1965,1/12/1988
21188,Piyush,Danecki,1/1/9999,Engineer,1/21/1965,4/2/1998
21546,Yongmin,Lanteri,1/1/9999,Senior Staff,1/1/1965,2/16/1988
21843,Karsten,Azadmanesh,1/1/9999,Senior Engineer,1/9/1965,11/29/1985
21909,Mohammed,Brizzi,1/1/9999,Senior Staff,1/4/1965,12/28/1991
22185,Huai,Birch,1/1/9999,Engineer,1/29/1965,11/27/1990
22415,Perla,Jumpertz,1/1/9999,Senior Staff,1/20/1965,3/29/1985
22451,Jasminko,Bresenham,1/1/9999,Senior Staff,1/27/1965,2/6/1985
22455,Barry,Unno,1/1/9999,Senior Staff,1/6/1965,5/16/1987
22926,Manibrata,Genther,1/1/9999,Senior Engineer,1/1/1965,5/19/1987
23396,Hilari,Fairtlough,1/1/9999,Technique Leader,1/2/1965,11/11/1986
24080,Jaana,Perez,1/1/9999,Technique Leader,1/26/1965,6/8/1990
24205,Roddy,Rubsam,1/1/9999,Senior Engineer,1/25/1965,9/6/1987
24377,Lubomir,Wroclawski,1/1/9999,Senior Engineer,1/25/1965,5/25/1991
24394,Zhonghui,Conta,1/1/9999,Staff,1/4/1965,2/1/1986
24553,Anwar,Passafiume,1/1/9999,Senior Staff,1/12/1965,1/30/1987
24571,Cordelia,Gischer,1/1/9999,Senior Engineer,1/20/1965,3/14/1989
25488,Ingmar,Basawa,1/1/9999,Senior Staff,1/19/1965,11/9/1991
26629,Nevin,Rodham,1/1/9999,Senior Staff,1/28/1965,9/20/1993
26671,Jiakeng,Kalorkoti,1/1/9999,Senior Engineer,1/21/1965,12/25/1994
26788,Zongyan,Dalphin,1/1/9999,Senior Engineer,1/25/1965,4/23/1988
27331,Wanqing,Krohm,1/1/9999,Senior Staff,1/19/1965,1/22/1991
27378,Piyawadee,Leppanen,1/1/9999,Senior Staff,1/28/1965,2/25/1999
